iperf3: error - unable to connect to server: Connection timed out
[  5]  27.00-28.00  sec   256 KBytes  2.10 Mbits/sec    0   72.4 KBytes       
[  5]  28.00-29.00  sec   384 KBytes  3.15 Mbits/sec    0   73.7 KBytes       
[  5]  29.00-30.00  sec   256 KBytes  2.10 Mbits/sec    0   73.7 KBytes       
[  5]  30.00-31.00  sec   384 KBytes  3.15 Mbits/sec    0   75.0 KBytes       
[  5]  31.00-32.00  sec   256 KBytes  2.10 Mbits/sec    0   80.3 KBytes       
[  5]  32.00-33.00  sec   256 KBytes  2.10 Mbits/sec   12   67.1 KBytes       
[  5]  33.00-34.00  sec   256 KBytes  2.10 Mbits/sec    0   77.7 KBytes       
[  5]  34.00-35.00  sec   384 KBytes  3.15 Mbits/sec   17   56.6 KBytes       
[  5]  35.00-36.00  sec   256 KBytes  2.10 Mbits/sec    0   64.5 KBytes       
[  5]  36.00-37.00  sec   256 KBytes  2.10 Mbits/sec    0   67.1 KBytes       
[  5]  37.00-38.00  sec   256 KBytes  2.10 Mbits/sec    0   67.1 KBytes       
[  5]  38.00-39.00  sec   256 KBytes  2.10 Mbits/sec    0   68.5 KBytes       
[  5]  39.00-40.00  sec   384 KBytes  3.15 Mbits/sec    0   73.7 KBytes       
[  5]  40.00-41.00  sec   256 KBytes  2.10 Mbits/sec    0   85.6 KBytes       
[  5]  41.00-42.00  sec   384 KBytes  3.15 Mbits/sec    0    108 KBytes       
[  5]  42.00-43.00  sec   384 KBytes  3.15 Mbits/sec   17   86.9 KBytes       
[  5]  43.00-44.00  sec   256 KBytes  2.10 Mbits/sec    2   81.6 KBytes       
[  5]  44.00-45.00  sec   384 KBytes  3.15 Mbits/sec    0   80.3 KBytes       
[  5]  45.00-46.00  sec   384 KBytes  3.15 Mbits/sec    0   84.2 KBytes       
[  5]  46.00-47.00  sec   384 KBytes  3.15 Mbits/sec    0   84.2 KBytes       
[  5]  47.00-48.00  sec   384 KBytes  3.15 Mbits/sec    0   84.2 KBytes       
[  5]  48.00-49.00  sec   384 KBytes  3.15 Mbits/sec    0   88.2 KBytes       
[  5]  49.00-50.00  sec   384 KBytes  3.15 Mbits/sec    0   96.1 KBytes       
[  5]  50.00-51.00  sec   384 KBytes  3.15 Mbits/sec   15   76.4 KBytes       
[  5]  51.00-52.00  sec   256 KBytes  2.10 Mbits/sec    0   94.8 KBytes       
[  5]  52.00-53.00  sec   512 KBytes  4.19 Mbits/sec    0    103 KBytes       
[  5]  53.00-54.00  sec   256 KBytes  2.10 Mbits/sec   18   76.4 KBytes       
[  5]  54.00-55.00  sec   384 KBytes  3.15 Mbits/sec    0   85.6 KBytes       
[  5]  55.00-56.00  sec   384 KBytes  3.15 Mbits/sec    0   88.2 KBytes       
[  5]  56.00-57.00  sec   384 KBytes  3.15 Mbits/sec    0   88.2 KBytes       
[  5]  57.00-58.00  sec   384 KBytes  3.15 Mbits/sec    0   89.5 KBytes       
[  5]  58.00-59.00  sec   384 KBytes  3.15 Mbits/sec    0   93.5 KBytes       
[  5]  59.00-60.00  sec   384 KBytes  3.15 Mbits/sec    0    105 KBytes       
[  5]  60.00-61.00  sec   384 KBytes  3.15 Mbits/sec    1    116 KBytes       
[  5]  61.00-62.00  sec   512 KBytes  4.19 Mbits/sec   17    100 KBytes       
[  5]  62.00-63.00  sec   384 KBytes  3.15 Mbits/sec   11   76.4 KBytes       
[  5]  63.00-64.00  sec   384 KBytes  3.15 Mbits/sec    0   88.2 KBytes       
[  5]  64.00-65.00  sec   384 KBytes  3.15 Mbits/sec    0   93.5 KBytes       
[  5]  65.00-66.00  sec   384 KBytes  3.15 Mbits/sec    0   93.5 KBytes       
[  5]  66.00-67.00  sec   384 KBytes  3.15 Mbits/sec    0   93.5 KBytes       
[  5]  67.00-68.00  sec   384 KBytes  3.15 Mbits/sec    0   97.4 KBytes       
[  5]  68.00-69.00  sec   384 KBytes  3.15 Mbits/sec    0    105 KBytes       
[  5]  69.00-70.00  sec   384 KBytes  3.15 Mbits/sec    1    104 KBytes       
[  5]  70.00-71.00  sec   512 KBytes  4.19 Mbits/sec   14   97.4 KBytes       
[  5]  71.00-72.00  sec   384 KBytes  3.15 Mbits/sec   11   76.4 KBytes       
[  5]  72.00-73.00  sec   384 KBytes  3.15 Mbits/sec    9   85.6 KBytes       
[  5]  73.00-74.00  sec   384 KBytes  3.15 Mbits/sec    0   92.1 KBytes       
[  5]  74.00-75.00  sec   384 KBytes  3.15 Mbits/sec    0   93.5 KBytes       
[  5]  75.00-76.00  sec   384 KBytes  3.15 Mbits/sec    0   93.5 KBytes       
[  5]  76.00-77.00  sec   384 KBytes  3.15 Mbits/sec    0   94.8 KBytes       
[  5]  77.00-78.00  sec   384 KBytes  3.15 Mbits/sec    0    101 KBytes       
[  5]  78.00-79.00  sec   384 KBytes  3.15 Mbits/sec    4   77.7 KBytes       
[  5]  79.00-80.00  sec   384 KBytes  3.15 Mbits/sec    9   92.1 KBytes       
[  5]  80.00-81.00  sec   384 KBytes  3.14 Mbits/sec    0    107 KBytes       
[  5]  81.00-82.00  sec   384 KBytes  3.15 Mbits/sec   14   76.4 KBytes       
[  5]  82.00-83.00  sec   384 KBytes  3.15 Mbits/sec    0   88.2 KBytes       
[  5]  83.00-84.00  sec   384 KBytes  3.15 Mbits/sec    0   92.1 KBytes       
[  5]  84.00-85.00  sec   384 KBytes  3.15 Mbits/sec    0   92.1 KBytes       
[  5]  85.00-86.00  sec   384 KBytes  3.15 Mbits/sec    0   92.1 KBytes       
[  5]  86.00-87.00  sec   512 KBytes  4.19 Mbits/sec    0   96.1 KBytes       
[  5]  87.00-88.00  sec   384 KBytes  3.15 Mbits/sec    0    105 KBytes       
[  5]  88.00-89.00  sec   384 KBytes  3.15 Mbits/sec    0    124 KBytes       
[  5]  89.00-90.00  sec   512 KBytes  4.19 Mbits/sec   16    100 KBytes       
[  5]  90.00-91.00  sec   256 KBytes  2.10 Mbits/sec   12   79.0 KBytes       
[  5]  91.00-92.00  sec   512 KBytes  4.20 Mbits/sec    0   89.5 KBytes       
[  5]  92.00-93.00  sec   384 KBytes  3.15 Mbits/sec    0   96.1 KBytes       
[  5]  93.00-94.00  sec   384 KBytes  3.15 Mbits/sec    0   96.1 KBytes       
[  5]  94.00-95.00  sec   384 KBytes  3.15 Mbits/sec    0   96.1 KBytes       
[  5]  95.00-96.00  sec   384 KBytes  3.15 Mbits/sec    0   98.7 KBytes       
[  5]  96.00-97.00  sec   512 KBytes  4.19 Mbits/sec    0    107 KBytes       
[  5]  97.00-98.00  sec   384 KBytes  3.15 Mbits/sec   13   79.0 KBytes       
[  5]  98.00-99.00  sec   384 KBytes  3.15 Mbits/sec    0   98.7 KBytes       
[  5]  99.00-100.00 sec   384 KBytes  3.15 Mbits/sec    0    111 KBytes       
[  5] 100.00-101.00 sec   512 KBytes  4.19 Mbits/sec    8   79.0 KBytes       
[  5] 101.00-102.00 sec   384 KBytes  3.15 Mbits/sec    0   92.1 KBytes       
[  5] 102.00-103.00 sec   384 KBytes  3.15 Mbits/sec    0   96.1 KBytes       
[  5] 103.00-104.00 sec   384 KBytes  3.15 Mbits/sec    0   96.1 KBytes       
[  5] 104.00-105.00 sec   384 KBytes  3.15 Mbits/sec    0   96.1 KBytes       
[  5] 105.00-106.00 sec   384 KBytes  3.15 Mbits/sec    0    100 KBytes       
[  5] 106.00-107.00 sec   512 KBytes  4.19 Mbits/sec    0    109 KBytes       
[  5] 107.00-108.00 sec   384 KBytes  3.15 Mbits/sec    7   89.5 KBytes       
[  5] 108.00-109.00 sec   384 KBytes  3.15 Mbits/sec   21    101 KBytes       
[  5] 109.00-110.00 sec   384 KBytes  3.14 Mbits/sec    5   79.0 KBytes       
[  5] 110.00-111.00 sec   384 KBytes  3.15 Mbits/sec    4   88.2 KBytes       
[  5] 111.00-112.00 sec   512 KBytes  4.19 Mbits/sec    0   96.1 KBytes       
[  5] 112.00-113.00 sec   384 KBytes  3.15 Mbits/sec    0   96.1 KBytes       
[  5] 113.00-114.00 sec   384 KBytes  3.15 Mbits/sec    0   96.1 KBytes       
[  5] 114.00-115.00 sec   384 KBytes  3.15 Mbits/sec    0   98.7 KBytes       
[  5] 115.00-116.00 sec   384 KBytes  3.15 Mbits/sec    0    105 KBytes       
[  5] 116.00-117.00 sec   512 KBytes  4.19 Mbits/sec    2    112 KBytes       
[  5] 117.00-118.00 sec   384 KBytes  3.15 Mbits/sec   15   96.1 KBytes       
[  5] 118.00-119.00 sec   384 KBytes  3.15 Mbits/sec    0    111 KBytes       
[  5] 119.00-120.00 sec   384 KBytes  3.15 Mbits/sec   20   82.9 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-120.00 sec  45.3 MBytes  3.17 Mbits/sec  691             sender
[  5]   0.00-120.23 sec  44.0 MBytes  3.07 Mbits/sec                  receiver

iperf Done.

